"","Backwater","CollectionDate","PIT1","PIT2","Species","Sex","TL","WT","Status","Method","Month","Year","SizeClass","Event","Disposition","Recapture","LastScan","ScanHr","DateVerified","MaxDAL","MonthName"
"131","Yuma Cove backwater",2022-11-02,"003D8B3BEC",NA,"XYTE","F",565,NA,"Backwater capture","Trammel",11,2022,3,"Capture","Released","N",2024-08-31,5,2022-11-02,668,"November"
"132","Yuma Cove backwater",2022-11-02,"003D8B3BED",NA,"XYTE","F",530,NA,"Backwater capture","Trammel",11,2022,3,"Capture","Released","N",2024-09-05,4,2022-11-02,673,"November"
"133","Yuma Cove backwater",2022-11-02,"003D8B47C5",NA,"XYTE","F",546,NA,"Backwater capture","Trammel",11,2022,3,"Capture","Released","N",2024-09-05,1,2022-11-02,673,"November"
"134","Yuma Cove backwater",2023-11-14,"003E21D098",NA,"XYTE","J",105,NA,"Backwater capture","Hoop net",11,2023,1,"Capture","Released","N",2024-08-29,10,2023-11-14,289,"November"
"135","Yuma Cove backwater",2023-11-14,"003E21D0B4",NA,"XYTE","J",91,NA,"Backwater capture","Hoop net",11,2023,1,"Capture","Released","N",2024-08-09,18,2023-11-14,269,"November"
"136","Yuma Cove backwater",2023-11-14,"003E21D0C1",NA,"XYTE","J",140,NA,"Backwater capture","Hoop net",11,2023,1,"Capture","Released","N",2024-09-05,4,2023-11-14,296,"November"
"137","Yuma Cove backwater",2023-11-14,"003E21D0D4",NA,"XYTE","J",113,NA,"Backwater capture","Hoop net",11,2023,1,"Capture","Released","N",2024-08-14,13,2023-11-14,274,"November"
"138","Yuma Cove backwater",2023-11-14,"003E21D0DB",NA,"XYTE","J",108,NA,"Backwater capture","Hoop net",11,2023,1,"Capture","Released","N",2024-09-01,11,2023-11-14,292,"November"
"139","Yuma Cove backwater",2023-11-14,"003E21D0DC",NA,"XYTE","J",108,NA,"Backwater capture","Hoop net",11,2023,1,"Capture","Released","N",2024-09-02,8,2023-11-14,293,"November"
"140","Yuma Cove backwater",2023-11-14,"003E21D47E",NA,"XYTE","J",501,1090,"Backwater capture","Hoop net",11,2023,3,"Capture","Released","N",2024-08-23,8,2023-11-14,283,"November"
"141","Yuma Cove backwater",2023-11-14,"003E21D487",NA,"XYTE","J",132,NA,"Backwater capture","Hoop net",11,2023,1,"Capture","Released","N",2024-08-18,11,2023-11-14,278,"November"
"142","Yuma Cove backwater",2023-11-14,"003E21D489",NA,"XYTE","F",496,NA,"Backwater capture","Hoop net",11,2023,2,"Capture","Released","N",2024-09-01,8,2023-11-14,292,"November"
"143","Yuma Cove backwater",2023-11-14,"003E21D493",NA,"XYTE","J",274,175,"Backwater capture","Hoop net",11,2023,1,"Capture","Released","N",2024-09-05,3,2023-11-14,296,"November"
"144","Yuma Cove backwater",2023-11-14,"003E21D4A0",NA,"XYTE","J",102,NA,"Backwater capture","Hoop net",11,2023,1,"Capture","Released","N",2024-08-03,20,2023-11-14,263,"November"
"145","Yuma Cove backwater",2023-11-14,"003E21D4A8",NA,"XYTE","J",321,260,"Backwater capture","Hoop net",11,2023,1,"Capture","Released","N",2024-09-04,1,2023-11-14,295,"November"
"146","Yuma Cove backwater",2023-11-14,"003E21D4AB",NA,"XYTE","J",124,NA,"Backwater capture","Hoop net",11,2023,1,"Capture","Released","N",2024-09-04,14,2023-11-14,295,"November"
"147","Yuma Cove backwater",2023-11-14,"003E21D8BD",NA,"XYTE","F",536,1710,"Backwater capture","Trammel",11,2023,3,"Capture","Released","N",2024-08-29,21,2023-11-14,289,"November"
"148","Yuma Cove backwater",2023-11-14,"003E21D8C2",NA,"XYTE","J",138,20,"Backwater capture","Hoop net",11,2023,1,"Capture","Released","N",2024-08-27,9,2023-11-14,287,"November"
"149","Yuma Cove backwater",2023-11-14,"003E21D8CA",NA,"XYTE","J",144,NA,"Backwater capture","Hoop net",11,2023,1,"Capture","Released","N",2024-09-05,3,2023-11-14,296,"November"
"150","Yuma Cove backwater",2023-11-14,"003E21D8D4",NA,"XYTE","J",112,NA,"Backwater capture","Hoop net",11,2023,1,"Capture","Released","N",2024-09-04,10,2023-11-14,295,"November"
"151","Yuma Cove backwater",2023-11-14,"003E21D8D5",NA,"XYTE","J",332,300,"Backwater capture","Trammel",11,2023,1,"Capture","Released","N",2024-07-27,10,2023-11-14,256,"November"
"152","Yuma Cove backwater",2023-11-14,"003E21D8DD",NA,"XYTE","M",470,930,"Backwater capture","Trammel",11,2023,2,"Capture","Released","N",2024-09-04,6,2023-11-14,295,"November"
"153","Yuma Cove backwater",2023-11-14,"003E21D8DE",NA,"XYTE","J",321,295,"Backwater capture","Trammel",11,2023,1,"Capture","Released","N",2024-08-22,21,2023-11-14,282,"November"
"154","Yuma Cove backwater",2023-11-14,"003E21D8EA",NA,"XYTE","J",138,NA,"Backwater capture","Hoop net",11,2023,1,"Capture","Released","N",2024-08-24,21,2023-11-14,284,"November"
"155","Yuma Cove backwater",2023-11-14,"003E21D8ED",NA,"XYTE","J",264,160,"Backwater capture","Trammel",11,2023,1,"Capture","Released","N",2024-09-04,19,2023-11-14,295,"November"
"156","Yuma Cove backwater",2023-11-14,"003E21D8EF",NA,"XYTE","J",336,335,"Backwater capture","Trammel",11,2023,1,"Capture","Released","N",2024-09-01,8,2023-11-14,292,"November"
"157","Yuma Cove backwater",2023-11-14,"003E21D8F9",NA,"XYTE","J",338,315,"Backwater capture","Trammel",11,2023,1,"Capture","Released","N",2024-08-30,4,2023-11-14,290,"November"
"158","Yuma Cove backwater",2023-11-14,"003E21D903",NA,"XYTE","J",317,245,"Backwater capture","Trammel",11,2023,1,"Capture","Released","N",2024-09-01,7,2023-11-14,292,"November"
"159","Yuma Cove backwater",2023-11-14,"003E21D907",NA,"XYTE","J",306,245,"Backwater capture","Trammel",11,2023,1,"Capture","Released","N",2024-09-04,16,2023-11-14,295,"November"
"160","Yuma Cove backwater",2023-11-14,"003E21D920",NA,"XYTE","J",359,415,"Backwater capture","Trammel",11,2023,2,"Capture","Released","N",2024-08-31,9,2023-11-14,291,"November"
"161","Yuma Cove backwater",2015-05-28,"1B7969F05F",NA,"XYTE","U",536,745,"Backwater capture","Not available",5,2015,3,"Capture","Released","N",2024-08-19,10,2015-05-28,3371,"May"
"162","Yuma Cove backwater",2015-05-28,"1B7969F1FB",NA,"XYTE","U",424,745,"Backwater capture","Not available",5,2015,2,"Capture","Released","N",2024-08-29,20,2015-05-28,3381,"May"
"163","Yuma Cove backwater",2015-05-28,"1B7969F243",NA,"XYTE","U",405,655,"Backwater capture","Not available",5,2015,2,"Capture","Released","N",2024-08-03,10,2015-05-28,3355,"May"
"164","Yuma Cove backwater",2015-05-28,"1B7969F568",NA,"XYTE","U",420,700,"Backwater capture","Not available",5,2015,2,"Capture","Released","N",2024-08-14,6,2015-05-28,3366,"May"
"165","Yuma Cove backwater",2015-05-14,"1B7969F63E",NA,"XYTE","U",414,725,"Backwater capture","Not available",5,2015,2,"Capture","Released","N",2024-07-19,2,2015-05-14,3354,"May"
"166","Yuma Cove backwater",2015-05-28,"1B796DD08A",NA,"XYTE","U",425,800,"Backwater capture","Not available",5,2015,2,"Capture","Released","N",2024-09-01,6,2015-05-28,3384,"May"
"167","Yuma Cove backwater",2013-02-11,"1B796EDCC6",NA,"XYTE","F",415,714,"Backwater release","Not available",2,2013,2,"Stocking","Released","N",2024-07-28,3,2013-02-11,4185,"February"
"168","Yuma Cove backwater",2013-02-11,"1B796EDD38",NA,"XYTE","F",475,980,"Backwater release","Not available",2,2013,2,"Stocking","Released","N",2024-08-19,3,2013-02-11,4207,"February"
"169","Yuma Cove backwater",2013-02-11,"1B796EDD8F",NA,"XYTE","F",455,812,"Backwater release","Not available",2,2013,2,"Stocking","Released","N",2024-08-28,3,2013-02-11,4216,"February"
"170","Yuma Cove backwater",2013-02-11,"1B796EDE18",NA,"XYTE","F",436,771,"Backwater release","Not available",2,2013,2,"Stocking","Released","N",2024-08-07,9,2013-02-11,4195,"February"
"171","Yuma Cove backwater",2013-02-11,"1B796EE317",NA,"XYTE","F",410,734,"Backwater release","Not available",2,2013,2,"Stocking","Released","N",2024-07-06,17,2013-02-11,4163,"February"
"172","Yuma Cove backwater",2013-02-11,"1B796EE4F5",NA,"XYTE","F",445,927,"Backwater release","Not available",2,2013,2,"Stocking","Released","N",2024-09-04,19,2013-02-11,4223,"February"
"173","Yuma Cove backwater",2013-02-11,"1B796EE60E",NA,"XYTE","F",450,863,"Backwater release","Not available",2,2013,2,"Stocking","Released","N",2024-09-04,6,2013-02-11,4223,"February"
"174","Yuma Cove backwater",2013-02-11,"1B796EE7E7",NA,"XYTE","F",426,788,"Backwater release","Not available",2,2013,2,"Stocking","Released","N",2024-08-03,10,2013-02-11,4191,"February"
"175","Yuma Cove backwater",2013-02-11,"1B796EE857",NA,"XYTE","F",410,710,"Backwater release","Not available",2,2013,2,"Stocking","Released","N",2024-08-29,19,2013-02-11,4217,"February"
"176","Yuma Cove backwater",2013-02-11,"1B796EEA92",NA,"XYTE","F",464,1068,"Backwater release","Not available",2,2013,2,"Stocking","Released","N",2024-08-15,8,2013-02-11,4203,"February"
"177","Yuma Cove backwater",2013-02-11,"1B796EEDC0",NA,"XYTE","M",406,633,"Backwater release","Not available",2,2013,2,"Stocking","Released","N",2024-07-30,6,2013-02-11,4187,"February"
"178","Yuma Cove backwater",2013-02-11,"1B796EEEC4",NA,"XYTE","F",457,976,"Backwater release","Not available",2,2013,2,"Stocking","Released","N",2024-09-03,20,2013-02-11,4222,"February"
"179","Yuma Cove backwater",2013-02-11,"1B796EEEF5",NA,"XYTE","F",425,735,"Backwater release","Not available",2,2013,2,"Stocking","Released","N",2024-08-18,3,2013-02-11,4206,"February"
"180","Yuma Cove backwater",2013-02-11,"1B796EEFA5",NA,"XYTE","M",381,547,"Backwater release","Not available",2,2013,2,"Stocking","Released","N",2024-08-27,7,2013-02-11,4215,"February"
